formula	target
Ag(AuS)2	True
Ag(W3Br7)2	True
Ag0.5Ge1Pb1.75S4	False
Ag0.5Ge1Pb1.75Se4	False
Ag2BBr	True
Ag2BiO3	True
Ag2GeS3	False
Ag2GeSe3	False
Ag2GeTe3	False
Ag2HgI4	False
Ag2Mo(I2O7)2	False
Ag2O	False
Ag2P2PbO7	True
Ag2PdO2	False
Ag2S	False
Ag2SnS3	False
Ag2SnSe3	False
Ag3AsO4	True
Ag3AsS3	False
Ag3AsSe3	False
Ag3Pd	True
Ag3RuO4	True
Ag3SbS3	False
Ag5IO6	False
Ag7(SI)2	True
Ag7AsS6	False
Ag7AsSe6	False
Ag7NO11	True
Ag8GeS6	False
Ag8SnSe6	False
Ag9(PbO3)4	True
Ag9Ge2IO8	True
AgAsS2	False
AgAsSe2	False
AgAu3	True
AgBi(PS3)2	False
AgBi(PSe3)2	False
AgBiPbS3	False
AgBiPbSe3	False
AgBiS2	False
AgBiSe2	False
AgBr	False
AgCNO	True
AgCl	False
AgF	False
AgGeO3	True
AgI	False
AgN3	False
AgO	False
AgP15	False
AgPd(IO3)3	False
AgPdO2	True
AgPt3	True
AgS	False
AgSO4	False
AgSbS2	False
AgSbSe2	False
AgSbTe2	False
AgTe	False
AgTe2As	False
Al(Ni10B7)2	True
Al(NiS2)2	True
Al0.01Cd0.99Sb0.01Te0.99	False
Al0.01Ga0.99P1	False
Al0.01In0.99P1	False
Al0.05Cd0.95Sb0.05Te0.95	False
Al0.15Ga0.85As1	False
Al0.1Cd0.9Sb0.1Te0.9	False
Al0.1In0.9P1	False
Al0.2Ga0.8P1	False
Al0.2In0.8P1	False
Al0.35Ga0.65As1	False
Al0.3Ga0.7As1	False
Al0.3In0.7P1	False
Al0.45Cd0.55Sb0.45Te0.55	False
Al0.4Cd0.6Sb0.4Te0.6	False
Al0.4Ga0.6P1	False
Al0.4In0.6P1	False
Al0.5Ga0.5As1	False
Al0.5In0.5P1	False
Al0.6Ga0.4As1	False
Al0.6Ga0.4P1	False
Al0.6In0.4P1	False
Al0.75Ga0.25As1	False
Al0.7In0.3P1	False
Al0.8Ga0.2P1	False
Al0.99Cd0.01Sb0.99Te0.01	False
Al0.99Ga0.01P1	False
Al0.99In0.01P1	False
Al10V	True
Al13Ru4	True
Al2(CuSe2)3	True
Al21Pt8	True
Al2CoIr	True
Al2Cr2O7	True
Al2CrS4	True
Al2Cu	True
Al2FeNi	True
Al2Ru	True
Al2S3	False
Al2Se3	False
Al2Te3	False
Al3Tc	True
Al4Cu2O7	True
Al4Cu9	True
Al5Rh2	True
Al6Fe	True
Al6Ru	True
Al6Tc	True
Al7(CN)3	True
Al9Co2	True
Al9Ir2	True
Al9Rh2	True
AlAgO2	False
AlAgS2	False
AlAgSe2	False
AlAgTe2	False
AlAs	True
AlB12	False
AlB2	True
AlBi	False
AlCoO3	True
AlCu3	True
AlCu7O12	True
AlCuS2	False
AlCuSe2	False
AlCuTe2	False
AlFe2Si	True
AlFe4(CuO4)3	True
AlIr	True
AlN	False
AlNi2	True
AlP	False
AlPd5I2	True
AlSb	False
AlSn	True
AlV(TeO4)2	False
AlVCo2	True
As2Ir	False
As2O3	False
As2Os	False
As2Pt	False
As2Rh	False
As2Ru	False
As2S3	False
As2S5	False
As2Se3	False
AsAu3	True
AsBr3	False
AsI3	False
AsOsS	False
AsP	False
AsPPd	False
AsPPt	False
AsPRu	False
AsPd3Pb2	True
AsRuS	False
AsS	False
AsS3	False
AsSI	False
AsSeBr	True
AsSeI	False
Au3S	True
AuBrO2	True
B2Mo(PbO2)6	False
B2O3	False
B2Se2O7	False
B3H2Pb2O7.5	False
B3Pb10Br3O13	False
B3Pb3NO10	False
B4C	False
B4H2Pb6O13	False
B4W	True
B5Mo2	True
B6As	False
B6P	False
BAs	False
BH(PbO2)2	False
BMo	True
BP	False
BPb2ClO3	False
BPb6BrO7	False
BPb7Br3O7	False
BRh2	True
BSb	False
BSbPbS4	False
BSe2Cl	True
BTe2As	True
Ba(AsPd)2	True
Ba(AsRh)2	True
Ba(BO2)2	False
Ba(BRh)2	True
Ba(FeS2)2	True
Ba(GaS2)2	False
Ba(GaSe2)2	False
Ba(InS2)2	False
Ba(InSe2)2	False
Ba(NiP2)2	True
Ba(PdO2)2	True
Ba(SnO2)4	True
Ba(ZnAs)2	False
Ba1.88Ta15O32	False
Ba12In4S19	False
Ba14Ir8(PdO11)3	True
Ba14Na8CaN6	True
Ba23Ga8(SbS19)2	False
Ba2B4H2O9	False
Ba2B6H4O13	False
Ba2B6O11	False
Ba2BiSbO6	True
Ba2CaOsO6	True
Ba2CaReO6	True
Ba2Cd(BO2)6	False
Ba2Ce2O5	True
Ba2CeInTe5	False
Ba2CoWO6	True
Ba2Cu5F14	True
Ba2CuWO6	True
Ba2DyCu3O7	True
Ba2DyGaSe5	False
Ba2DyGaTe5	False
Ba2DyInSe5	False
Ba2DyInTe5	False
Ba2ErGaSe5	False
Ba2ErGaTe5	False
Ba2ErInSe5	False
Ba2ErInTe5	False
Ba2FeMoO6	True
Ba2FeReO6	True
Ba2Ga8GeS16	False
Ba2Ga8SiS16	False
Ba2GaAsSe5	False
Ba2GaBiS5	False
Ba2GaBiSe5	False
Ba2GaBiTe5	False
Ba2GaS4	False
Ba2GaSbSe5	False
Ba2GaSbTe5	False
Ba2GaSe4	False
Ba2GdGaSe5	False
Ba2GdGaTe5	False
Ba2GdInSe5	False
Ba2GdInTe5	False
Ba2HgS5	False
Ba2In2S5	False
Ba2In2Se5	False
Ba2InAgS4	False
Ba2InBiS5	False
Ba2InSbSe5	False
Ba2LaIrO6	True
Ba2LiFe2N3	True
Ba2NaCu3S5	False
Ba2NdGaS5	False
Ba2NdGaSe5	False
Ba2NdInSe5	False
Ba2NdInTe5	False
Ba2ReNiO6	True
Ba2Sb7HO14	False
Ba2ScIrO6	True
Ba2ScTaO6	False
Ba2SmCu3O7	True
Ba2SmGaSe5	False
Ba2SmGaTe5	False
Ba2SmInSe5	False
Ba2SmInTe5	False
Ba2SmTaO6	False
Ba2SnSe4	False
Ba2SnSe5	False
Ba2TaInO6	False
Ba2TbIrO6	True
Ba2ThCu2Se5	False
Ba2UCuO6	True
Ba2V2Te2O11	False
Ba2V2ZnO8	False
Ba2V4(TeO6)3	False
Ba2YGaSe5	False
Ba2YGaTe5	False
Ba2YInSe5	False
Ba2YInTe5	False
Ba2YReO6	True
Ba2Yb(CuO2)4	True
Ba2Zn0.2B2S5.2	False
Ba2ZnSe3	False
Ba2ZnTe3	False
Ba3(AlGe)2	True
Ba3(LiSn2)4	True
Ba3Ag2(SnS4)2	False
Ba3B1.5Sb0.5S6	False
Ba3BSbS6	False
Ba3BSbSe6	False
Ba3Bi0.5B1.5S6	False
Ba3Bi2TeO9	False
Ba3CaIr2O9	True
Ba3CaRu2O9	True
Ba3Cd(SnS4)2	False
Ba3Co10O17	True
Ba3CrS5	True
Ba3Dy2(PS4)4	False
Ba3Er2(PS4)4	False
Ba3ErRu2O9	True
Ba3Eu(PO4)3	False
Ba3FeS4Br	False
Ba3Gd2(PS4)4	False
Ba3GeS5	False
Ba3Ho2(PS4)4	False
Ba3In2(PO4)4	False
Ba3InS4Cl	False
Ba3La3(Cu3O7)2	False
Ba3MgTa2O9	False
Ba3N2	True
Ba3NaIr2O9	True
Ba3NaIrO6	True
Ba3Nb2CoO9	True
Ba3Nb2Se9	False
Ba3P3ClO10	False
Ba3PN	True
Ba3Sb2S7	False
Ba3Sn(SbSe4)2	False
Ba3Sn0.87Bi2.13Se8	False
Ba3Ta2Se9	False
Ba3Ta2ZnO9	False
Ba3Ta5NO14	False
Ba3Tb2(PS4)4	False
Ba3Te	True
Ba3ThSe7	False
Ba3V2(SeO4)4	False
Ba3YIr2O9	True
Ba3Yb4O9	True
Ba3ZrRu2O9	True
Ba4B11O20F	False
Ba4Ga4GeSe12	False
Ba4Ga4SnSe12	False
Ba4Ga5AgS12	False
Ba4Ga5CuS12	False
Ba4Ga5CuSe12	False
Ba4Ga5Si18	False
Ba4Ge3S9Cl2	False
Ba4Ge3Se9Cl2	False
Ba4InAgSe6	False
Ba4InCuSe6	False
Ba4LiGa5Se12	False
Ba4Nb14O23	True
Ba4Sb3S8Cl	False
Ba4Si20Au3	True
Ba4Si3Se9Cl2	False
Ba4Sm2Cu2O9	True
Ba4Yb(CuO3)3	True
Ba5(Ga2Se5)2	False
Ba5(GaSe4)2	False
Ba5Al2Ge7	True
Ba5Bi3	True
Ba5Cd(Ga2Se5)3	False
Ba5Ga6GeP12	False
Ba5Ga6SnP12	False
Ba5Ge3	True
Ba5In4Bi5	True
Ba5In4Te4S7	False
Ba5Sb3	True
Ba5V3O12F	False
