Filename,Error Message
"250022.cif","Could not process C:\Users\byron\OneDrive\Documents\GitHub\MaterialsInformatics\byron\HW2\cn-featurizer\cifs\250022.cif. Error: 'Nb'"
"250065.cif","Could not process C:\Users\byron\OneDrive\Documents\GitHub\MaterialsInformatics\byron\HW2\cn-featurizer\cifs\250065.cif. Error: 'Mo'"
"250125.cif","Could not process C:\Users\byron\OneDrive\Documents\GitHub\MaterialsInformatics\byron\HW2\cn-featurizer\cifs\250125.cif. Error: 'Mo'"
"250186.cif","Could not process C:\Users\byron\OneDrive\Documents\GitHub\MaterialsInformatics\byron\HW2\cn-featurizer\cifs\250186.cif. Error: 'Mo'"
"250191.cif","Could not process C:\Users\byron\OneDrive\Documents\GitHub\MaterialsInformatics\byron\HW2\cn-featurizer\cifs\250191.cif. Error: 'Mo'"
"250223.cif","Could not process C:\Users\byron\OneDrive\Documents\GitHub\MaterialsInformatics\byron\HW2\cn-featurizer\cifs\250223.cif. Error: 'Nb'"
"250225.cif","Could not process C:\Users\byron\OneDrive\Documents\GitHub\MaterialsInformatics\byron\HW2\cn-featurizer\cifs\250225.cif. Error: 'Mo'"
"250236.cif","Could not process C:\Users\byron\OneDrive\Documents\GitHub\MaterialsInformatics\byron\HW2\cn-featurizer\cifs\250236.cif. Error: 'Nb'"
"250390.cif","Could not process C:\Users\byron\OneDrive\Documents\GitHub\MaterialsInformatics\byron\HW2\cn-featurizer\cifs\250390.cif. Error: 'Mo'"
"250399.cif","Could not process C:\Users\byron\OneDrive\Documents\GitHub\MaterialsInformatics\byron\HW2\cn-featurizer\cifs\250399.cif. Error: 'V'"
"250476.cif","Could not process C:\Users\byron\OneDrive\Documents\GitHub\MaterialsInformatics\byron\HW2\cn-featurizer\cifs\250476.cif. Error: 'Pb'"
"250477.cif","Could not process C:\Users\byron\OneDrive\Documents\GitHub\MaterialsInformatics\byron\HW2\cn-featurizer\cifs\250477.cif. Error: 'Pb'"
"250525.cif","Could not process C:\Users\byron\OneDrive\Documents\GitHub\MaterialsInformatics\byron\HW2\cn-featurizer\cifs\250525.cif. Error: 'Ti'"
"250527.cif","Could not process C:\Users\byron\OneDrive\Documents\GitHub\MaterialsInformatics\byron\HW2\cn-featurizer\cifs\250527.cif. Error: 'Pb'"
"250530.cif","Could not process C:\Users\byron\OneDrive\Documents\GitHub\MaterialsInformatics\byron\HW2\cn-featurizer\cifs\250530.cif. Error: 'Nb'"
"250561.cif","Could not process C:\Users\byron\OneDrive\Documents\GitHub\MaterialsInformatics\byron\HW2\cn-featurizer\cifs\250561.cif. Error: 'W'"
"250562.cif","Could not process C:\Users\byron\OneDrive\Documents\GitHub\MaterialsInformatics\byron\HW2\cn-featurizer\cifs\250562.cif. Error: 'W'"
"250563.cif","Could not process C:\Users\byron\OneDrive\Documents\GitHub\MaterialsInformatics\byron\HW2\cn-featurizer\cifs\250563.cif. Error: 'Mo'"
"250564.cif","Could not process C:\Users\byron\OneDrive\Documents\GitHub\MaterialsInformatics\byron\HW2\cn-featurizer\cifs\250564.cif. Error: 'Mo'"
"250628.cif","Could not process C:\Users\byron\OneDrive\Documents\GitHub\MaterialsInformatics\byron\HW2\cn-featurizer\cifs\250628.cif. Error: 'Nb'"
"250679.cif","Could not process C:\Users\byron\OneDrive\Documents\GitHub\MaterialsInformatics\byron\HW2\cn-featurizer\cifs\250679.cif. Error: 'Pb'"
"250733.cif","Could not process C:\Users\byron\OneDrive\Documents\GitHub\MaterialsInformatics\byron\HW2\cn-featurizer\cifs\250733.cif. Error: 'Ta'"
"250735.cif","Could not process C:\Users\byron\OneDrive\Documents\GitHub\MaterialsInformatics\byron\HW2\cn-featurizer\cifs\250735.cif. Error: 'Nb'"
"250737.cif","Could not process C:\Users\byron\OneDrive\Documents\GitHub\MaterialsInformatics\byron\HW2\cn-featurizer\cifs\250737.cif. Error: 'Ta'"
"250740.cif","Could not process C:\Users\byron\OneDrive\Documents\GitHub\MaterialsInformatics\byron\HW2\cn-featurizer\cifs\250740.cif. Error: 'V'"
"250742.cif","Could not process C:\Users\byron\OneDrive\Documents\GitHub\MaterialsInformatics\byron\HW2\cn-featurizer\cifs\250742.cif. Error: 'V'"
"250751.cif","Could not process C:\Users\byron\OneDrive\Documents\GitHub\MaterialsInformatics\byron\HW2\cn-featurizer\cifs\250751.cif. Error: 'Au'"
"250752.cif","Could not process C:\Users\byron\OneDrive\Documents\GitHub\MaterialsInformatics\byron\HW2\cn-featurizer\cifs\250752.cif. Error: 'Au'"
"250753.cif","Could not process C:\Users\byron\OneDrive\Documents\GitHub\MaterialsInformatics\byron\HW2\cn-featurizer\cifs\250753.cif. Error: 'Au'"
"250754.cif","Could not process C:\Users\byron\OneDrive\Documents\GitHub\MaterialsInformatics\byron\HW2\cn-featurizer\cifs\250754.cif. Error: 'Au'"
"250755.cif","Could not process C:\Users\byron\OneDrive\Documents\GitHub\MaterialsInformatics\byron\HW2\cn-featurizer\cifs\250755.cif. Error: 'Au'"
