CIF_id,Compound,lowest_wyckoff_elements,Mendeleev_number_of_elements_with_lowest_wyckoff,valence_e_of_elements_with_lowest_wyckoff,CIF_rad_of_elements_with_lowest_wyckoff,CIF_rad_refined_of_elements_with_lowest_wyckoff,Pauling_rad_of_elements_with_lowest_wyckoff,Pauling_EN_of_elements_with_lowest_wyckoff,MB_EN_of_elements_with_lowest_wyckoff,highest_Mendeleev_number_sites,lowest_Mendeleev_number_sites,highest_Mendeleev_number_multiplicity,lowest_Mendeleev_number_multiplicity,highest_valence_e_sites,lowest_valence_e_sites,highest_valence_e_multiplicity,lowest_valence_e_multiplicity,highest_CIF_rad_sites,lowest_CIF_rad_sites,highest_CIF_rad_multiplicity,lowest_CIF_rad_multiplicity,highest_CIF_rad_refined_sites,lowest_CIF_rad_refined_sites,highest_CIF_rad_refined_multiplicity,lowest_CIF_rad_refined_multiplicity,highest_Pauling_rad_sites,lowest_Pauling_rad_sites,highest_Pauling_rad_multiplicity,lowest_Pauling_rad_multiplicity,highest_Pauling_EN_sites,lowest_Pauling_EN_sites,highest_Pauling_EN_multiplicity,lowest_Pauling_EN_multiplicity,highest_MB_EN_sites,lowest_MB_EN_sites,highest_MB_EN_multiplicity,lowest_MB_EN_multiplicity
250101,TmAl3,Tm,37,15,1.726,1.4849,1.743,1.25,1.2,1,1,3,1,1,1,1,3,1,1,1,3,1,1,3,3,1,1,1,3,1,1,3,1,1,1,3,1
250328,LaPd3,La,13,3,1.871,1.4974,1.871,1.1,1.35,1,1,3,1,1,1,3,1,1,1,1,3,1,1,3,3,1,1,1,3,1,1,3,1,1,1,3,1
250329,CePd3,Ce,15,4,1.819,1.4594,1.818,1.12,1.1,1,1,3,1,1,1,3,1,1,1,1,3,1,1,3,3,1,1,1,3,1,1,3,1,1,1,3,1
250330,PrPd3,Pr,17,5,1.82,1.4631,1.824,1.13,1.1,1,1,3,1,1,1,3,1,1,1,1,3,1,1,1,3,1,1,1,3,1,1,3,1,1,1,3,1
250331,NdPd3,Nd,19,6,1.813,1.4589,1.818,1.14,1.2,1,1,3,1,1,1,3,1,1,1,1,3,1,1,3,1,1,1,1,3,1,1,3,1,1,1,3,1
250332,SmPd3,Sm,23,8,1.793,1.4514,1.85,1.17,1.2,1,1,3,1,1,1,3,1,1,1,1,3,1,1,1,3,1,1,1,3,1,1,3,1,1,1,3,1
250333,EuPd3,Eu,25,9,1.987,1.4479,2.084,1.2,1.15,1,1,3,1,1,1,3,1,1,1,1,3,1,1,3,3,1,1,1,3,1,1,3,1,1,1,3,1
250334,GdPd3,Gd,27,10,1.787,1.4474,1.795,1.2,1.1,1,1,3,1,1,1,3,3,1,1,1,3,1,1,3,3,1,1,1,3,1,1,3,1,1,1,3,1
250335,TbPd3,Tb,29,11,1.764,1.4415,1.773,1.2,1.2,1,1,3,1,1,1,1,3,1,1,1,3,1,1,1,3,1,1,1,3,1,1,3,1,1,1,3,1
250336,DyPd3,Dy,31,12,1.752,1.4384,1.77,1.22,1.15,1,1,3,1,1,1,1,3,1,1,1,3,1,1,3,1,1,1,1,3,1,1,3,1,1,1,3,1
250337,HoPd3,Ho,33,13,1.745,1.4361,1.761,1.23,1.2,1,1,3,1,1,1,1,3,1,1,1,3,1,1,3,3,1,1,1,3,1,1,3,1,1,1,3,1
250338,ErPd3,Er,35,14,1.734,1.4334,1.748,1.24,1.2,1,1,3,1,1,1,1,3,1,1,1,3,1,1,3,3,1,1,1,3,1,1,3,1,1,1,3,1
250339,YbPd3,Yb,39,16,1.939,1.4283,1.933,1.1,1.1,1,1,3,1,1,1,1,3,1,1,1,3,1,1,3,3,1,1,1,3,1,1,3,1,1,1,3,1
250340,LuPd3,Lu,41,17,1.718,1.4269,1.738,1.27,1.2,1,1,3,1,1,1,1,3,1,1,1,3,1,1,3,3,1,1,1,3,1,1,3,1,1,1,3,1
250363,LaSn3,La,13,3,1.871,1.6862,1.871,1.1,1.35,1,1,3,1,1,1,3,1,1,1,1,3,1,1,1,3,1,1,1,3,1,1,3,1,1,1,3,1
250364,CeSn3,Ce,15,4,1.819,1.6693,1.818,1.12,1.1,1,1,3,1,1,1,3,1,1,1,1,3,1,1,3,1,1,1,1,3,1,1,3,1,1,1,3,1
250365,PrSn3,Pr,17,5,1.82,1.6673,1.824,1.13,1.1,1,1,3,1,1,1,3,1,1,1,1,3,1,1,3,3,1,1,1,3,1,1,3,1,1,1,3,1
250366,NdSn3,Nd,19,6,1.813,1.6638,1.818,1.14,1.2,1,1,3,1,1,1,3,1,1,1,1,3,1,1,3,3,1,1,1,3,1,1,3,1,1,1,3,1
250367,SmSn3,Sm,23,8,1.793,1.657,1.85,1.17,1.2,1,1,3,1,1,1,3,1,1,1,1,3,1,1,3,3,1,1,1,3,1,1,3,1,1,1,3,1
250368,EuSn3,Eu,25,9,1.987,1.6774,2.084,1.2,1.15,1,1,3,1,1,1,3,1,1,1,1,3,1,1,3,1,1,1,1,3,1,1,3,1,1,1,3,1
250369,GdSn3,Gd,27,10,1.787,1.6537,1.795,1.2,1.1,1,1,3,1,1,1,3,1,1,1,1,3,1,1,3,1,1,1,1,3,1,1,3,1,1,1,3,1
250370,YbSn3,Yb,39,16,1.939,1.6551,1.933,1.1,1.1,1,1,3,1,1,1,1,3,1,1,1,3,1,1,3,1,1,1,1,3,1,1,3,1,1,1,3,1
250372,YIn3,Y,12,3,1.783,1.624,1.797,1.22,1.41,1,1,3,1,1,1,3,1,1,1,1,3,1,1,3,3,1,1,1,3,1,1,3,1,1,1,3,1
250373,LaIn3,La,13,3,1.871,1.6739,1.871,1.1,1.35,1,1,3,1,1,1,3,1,1,1,1,3,1,1,3,3,1,1,1,3,1,1,3,1,1,1,3,1
