CIF_id,Compound,Central atom,Coordination number,A atom count in CN,B atom count in CN,Volume of polyhedron,Distance from central atom to center of mass,Number of edges,Number of faces,Shortest distance to center of any face,Shortest distance to center of any edge,Volume of the inscribed sphere,Packing efficiency of inscribed sphere in polyhedron
250101,TmAl3,Al1,12.0,4.0,8.0,61.74,0.0,30.0,20.0,2.2136,2.1,45.434,0.7359
250101,TmAl3,Tm1,15.0,3.0,12.0,80.262,0.0,21.0,14.0,2.3192,2.5349,52.5791,0.6702
250328,LaPd3,La1,15.0,3.0,12.0,82.297,0.0,21.0,14.0,2.3387,2.5562,53.9122,0.6702
250328,LaPd3,Pd1,12.0,4.0,8.0,63.3054,0.0,30.0,20.0,2.2321,2.1176,46.586,0.7359
250329,CePd3,Ce1,15.0,3.0,12.0,76.1935,0.0,21.0,14.0,2.2794,2.4913,49.9138,0.6702
250329,CePd3,Pd1,12.0,4.0,8.0,58.6104,0.0,30.0,20.0,2.1755,2.0639,43.131,0.7359
250330,PrPd3,Pd1,12.0,4.0,8.0,59.0588,0.0,30.0,20.0,2.1811,2.0692,43.461,0.7359
250330,PrPd3,Pr1,15.0,3.0,12.0,76.7764,0.0,21.0,14.0,2.2852,2.4977,50.2957,0.6702
250331,NdPd3,Nd1,15.0,3.0,12.0,76.116,0.0,21.0,14.0,2.2786,2.4905,49.8631,0.6702
250331,NdPd3,Pd1,12.0,4.0,8.0,58.5508,0.0,30.0,20.0,2.1748,2.0632,43.0871,0.7359
250332,SmPd3,Pd1,12.0,4.0,8.0,57.6572,0.0,30.0,20.0,2.1637,2.0526,42.4295,0.7359
250332,SmPd3,Sm1,15.0,3.0,12.0,74.9543,0.0,21.0,14.0,2.2669,2.4778,49.1021,0.6702
250333,EuPd3,Eu1,15.0,3.0,12.0,74.4025,0.0,21.0,14.0,2.2614,2.4717,48.7406,0.6702
250333,EuPd3,Pd1,12.0,4.0,8.0,57.2327,0.0,30.0,20.0,2.1584,2.0476,42.1171,0.7359
250334,GdPd3,Gd1,15.0,3.0,12.0,74.3262,0.0,21.0,14.0,2.2606,2.4708,48.6906,0.6702
250334,GdPd3,Pd1,12.0,4.0,8.0,57.174,0.0,30.0,20.0,2.1576,2.0469,42.074,0.7359
250335,TbPd3,Pd1,12.0,4.0,8.0,56.4855,0.0,30.0,20.0,2.1489,2.0386,41.5673,0.7359
250335,TbPd3,Tb1,15.0,3.0,12.0,73.4311,0.0,21.0,14.0,2.2515,2.4609,48.1042,0.6702
250336,DyPd3,Dy1,15.0,3.0,12.0,72.9513,0.0,21.0,14.0,2.2466,2.4555,47.7899,0.6702
250336,DyPd3,Pd1,12.0,4.0,8.0,56.1164,0.0,30.0,20.0,2.1442,2.0342,41.2957,0.7359
250337,HoPd3,Ho1,15.0,3.0,12.0,72.6076,0.0,21.0,14.0,2.243,2.4516,47.5647,0.6702
250337,HoPd3,Pd1,12.0,4.0,8.0,55.852,0.0,30.0,20.0,2.1409,2.031,41.1011,0.7359
250338,ErPd3,Er1,15.0,3.0,12.0,72.1901,0.0,21.0,14.0,2.2387,2.4469,47.2912,0.6702
250338,ErPd3,Pd1,12.0,4.0,8.0,55.5308,0.0,30.0,20.0,2.1368,2.0271,40.8648,0.7359
250339,YbPd3,Pd1,12.0,4.0,8.0,54.9412,0.0,30.0,20.0,2.1292,2.0199,40.4309,0.7359
250339,YbPd3,Yb1,15.0,3.0,12.0,71.4236,0.0,21.0,14.0,2.2308,2.4382,46.7891,0.6702
250340,LuPd3,Lu1,15.0,3.0,12.0,71.2116,0.0,21.0,14.0,2.2286,2.4358,46.6503,0.6702
250340,LuPd3,Pd1,12.0,4.0,8.0,54.7782,0.0,30.0,20.0,2.127,2.0179,40.3109,0.7359
250363,LaSn3,La1,15.0,3.0,12.0,117.5312,0.0,21.0,14.0,2.6336,2.8786,76.9939,0.6702
250363,LaSn3,Sn1,12.0,4.0,8.0,90.4086,0.0,30.0,20.0,2.5137,2.3847,66.5311,0.7359
250364,CeSn3,Ce1,15.0,3.0,12.0,114.0183,0.0,21.0,14.0,2.6071,2.8496,74.6926,0.6702
250364,CeSn3,Sn1,12.0,4.0,8.0,87.7064,0.0,30.0,20.0,2.4884,2.3607,64.5425,0.7359
250365,PrSn3,Pr1,15.0,3.0,12.0,113.6203,0.0,21.0,14.0,2.6041,2.8463,74.4319,0.6702
250365,PrSn3,Sn1,12.0,4.0,8.0,87.4002,0.0,30.0,20.0,2.4855,2.358,64.3172,0.7359
250366,NdSn3,Nd1,15.0,3.0,12.0,112.9062,0.0,21.0,14.0,2.5986,2.8403,73.9641,0.6702
250366,NdSn3,Sn1,12.0,4.0,8.0,86.8509,0.0,30.0,20.0,2.4803,2.353,63.913,0.7359
250367,SmSn3,Sm1,15.0,3.0,12.0,111.5156,0.0,21.0,14.0,2.5879,2.8286,73.0531,0.6702
250367,SmSn3,Sn1,12.0,4.0,8.0,85.7813,0.0,30.0,20.0,2.47,2.3433,63.1258,0.7359
250368,EuSn3,Eu1,15.0,3.0,12.0,115.7,0.0,21.0,14.0,2.6199,2.8636,75.7943,0.6702
250368,EuSn3,Sn1,12.0,4.0,8.0,89.0,0.0,30.0,20.0,2.5006,2.3723,65.4945,0.7359
250369,GdSn3,Gd1,15.0,3.0,12.0,110.8673,0.0,21.0,14.0,2.5829,2.8231,72.6284,0.6702
250369,GdSn3,Sn1,12.0,4.0,8.0,85.2825,0.0,30.0,20.0,2.4653,2.3388,62.7588,0.7359
250370,YbSn3,Sn1,12.0,4.0,8.0,85.496,0.0,30.0,20.0,2.4673,2.3407,62.9159,0.7359
250370,YbSn3,Yb1,15.0,3.0,12.0,111.1449,0.0,21.0,14.0,2.5851,2.8255,72.8102,0.6702
250372,YIn3,In1,12.0,4.0,8.0,80.77,0.0,30.0,20.0,2.421,2.2968,59.438,0.7359
250372,YIn3,Y1,15.0,3.0,12.0,105.001,0.0,21.0,14.0,2.5365,2.7724,68.7854,0.6702
