CIF_id,Compound,Central atom,Coordination number,A atom count in CN,B atom count in CN,Volume of polyhedron,Distance from central atom to center of mass,Number of edges,Number of faces,Shortest distance to center of any face,Shortest distance to center of any edge,Volume of the inscribed sphere,Packing efficiency of inscribed sphere in polyhedron
250101,TmAl3,Al1,12,4,8,61.74,0.0,30,20,2.2136,2.1,45.434,0.7359
250101,TmAl3,Tm1,18,6,12,98.784,0.0,30,20,2.4249,2.9698,59.7241,0.7359
250328,LaPd3,La1,18,6,12,101.2886,0.0,30,20,2.4452,2.9947,61.2384,0.7359
250328,LaPd3,Pd1,12,4,8,63.3054,0.0,30,20,2.2321,2.1176,46.586,0.7359
250329,CePd3,Ce1,18,6,12,93.7766,0.0,30,20,2.3832,2.9188,56.6967,0.7359
250329,CePd3,Pd1,12,4,8,58.6104,0.0,30,20,2.1755,2.0639,43.131,0.7359
250330,PrPd3,Pd1,12,4,8,59.0588,0.0,30,20,2.1811,2.0692,43.461,0.7359
250330,PrPd3,Pr1,18,6,12,94.4941,0.0,30,20,2.3892,2.9262,57.1305,0.7359
250331,NdPd3,Nd1,18,6,12,93.6813,0.0,30,20,2.3824,2.9178,56.639,0.7359
250331,NdPd3,Pd1,12,4,8,58.5508,0.0,30,20,2.1748,2.0632,43.0871,0.7359
250332,SmPd3,Pd1,12,4,8,57.6572,0.0,30,20,2.1637,2.0526,42.4295,0.7359
250332,SmPd3,Sm1,18,6,12,92.2515,0.0,30,20,2.3702,2.9029,55.7746,0.7359
250333,EuPd3,Eu1,18,6,12,91.5723,0.0,30,20,2.3644,2.8957,55.364,0.7359
250333,EuPd3,Pd1,12,4,8,57.2327,0.0,30,20,2.1584,2.0476,42.1171,0.7359
250334,GdPd3,Gd1,18,6,12,91.4784,0.0,30,20,2.3636,2.8948,55.3072,0.7359
250334,GdPd3,Pd1,12,4,8,57.174,0.0,30,20,2.1576,2.0469,42.074,0.7359
250335,TbPd3,Pd1,12,4,8,56.4855,0.0,30,20,2.1489,2.0386,41.5673,0.7359
250335,TbPd3,Tb1,18,6,12,90.3768,0.0,30,20,2.354,2.8831,54.6412,0.7359
250336,DyPd3,Dy1,18,6,12,89.7862,0.0,30,20,2.3489,2.8768,54.2841,0.7359
250336,DyPd3,Pd1,12,4,8,56.1164,0.0,30,20,2.1442,2.0342,41.2957,0.7359
250337,HoPd3,Ho1,18,6,12,89.3632,0.0,30,20,2.3452,2.8723,54.0284,0.7359
250337,HoPd3,Pd1,12,4,8,55.852,0.0,30,20,2.1409,2.031,41.1011,0.7359
250338,ErPd3,Er1,18,6,12,88.8494,0.0,30,20,2.3407,2.8668,53.7177,0.7359
250338,ErPd3,Pd1,12,4,8,55.5308,0.0,30,20,2.1368,2.0271,40.8648,0.7359
250339,YbPd3,Pd1,12,4,8,54.9412,0.0,30,20,2.1292,2.0199,40.4309,0.7359
250339,YbPd3,Yb1,18,6,12,87.906,0.0,30,20,2.3324,2.8566,53.1473,0.7359
250340,LuPd3,Lu1,18,6,12,87.6451,0.0,30,20,2.3301,2.8537,52.9896,0.7359
250340,LuPd3,Pd1,12,4,8,54.7782,0.0,30,20,2.127,2.0179,40.3109,0.7359
250363,LaSn3,La1,18,6,12,144.6538,0.0,30,20,2.7536,3.3725,87.4567,0.7359
250363,LaSn3,Sn1,12,4,8,90.4086,0.0,30,20,2.5137,2.3847,66.5311,0.7359
250364,CeSn3,Ce1,18,6,12,140.3302,0.0,30,20,2.7259,3.3385,84.8427,0.7359
250364,CeSn3,Sn1,12,4,8,87.7064,0.0,30,20,2.4884,2.3607,64.5425,0.7359
250365,PrSn3,Pr1,18,6,12,139.8404,0.0,30,20,2.7227,3.3346,84.5465,0.7359
250365,PrSn3,Sn1,12,4,8,87.4002,0.0,30,20,2.4855,2.358,64.3172,0.7359
250366,NdSn3,Nd1,18,6,12,138.9615,0.0,30,20,2.717,3.3276,84.0152,0.7359
250366,NdSn3,Sn1,12,4,8,86.8509,0.0,30,20,2.4803,2.353,63.913,0.7359
250367,SmSn3,Sm1,18,6,12,137.25,0.0,30,20,2.7058,3.3139,82.9804,0.7359
250367,SmSn3,Sn1,12,4,8,85.7813,0.0,30,20,2.47,2.3433,63.1258,0.7359
250368,EuSn3,Eu1,18,6,12,142.4,0.0,30,20,2.7392,3.3549,86.0941,0.7359
250368,EuSn3,Sn1,12,4,8,89.0,0.0,30,20,2.5006,2.3723,65.4945,0.7359
250369,GdSn3,Gd1,18,6,12,136.4521,0.0,30,20,2.7005,3.3075,82.498,0.7359
250369,GdSn3,Sn1,12,4,8,85.2825,0.0,30,20,2.4653,2.3388,62.7588,0.7359
250370,YbSn3,Sn1,12,4,8,85.496,0.0,30,20,2.4673,2.3407,62.9159,0.7359
250370,YbSn3,Yb1,18,6,12,136.7937,0.0,30,20,2.7028,3.3102,82.7045,0.7359
250372,YIn3,In1,12,4,8,80.77,0.0,30,20,2.421,2.2968,59.438,0.7359
250372,YIn3,Y1,18,6,12,129.232,0.0,30,20,2.652,3.2481,78.1328,0.7359
250373,LaIn3,In1,12,4,8,88.4384,0.0,30,20,2.4953,2.3672,65.0812,0.7359
250373,LaIn3,La1,18,6,12,141.5015,0.0,30,20,2.7334,3.3478,85.5508,0.7359
250374,CeIn3,Ce1,18,6,12,137.4874,0.0,30,20,2.7074,3.3158,83.1239,0.7359
250374,CeIn3,In1,12,4,8,85.9296,0.0,30,20,2.4715,2.3446,63.235,0.7359
250375,PrIn3,In1,12,4,8,84.9602,0.0,30,20,2.4622,2.3358,62.5216,0.7359
250375,PrIn3,Pr1,18,6,12,135.9364,0.0,30,20,2.6971,3.3033,82.1862,0.7359
250376,NdIn3,In1,12,4,8,84.0794,0.0,30,20,2.4536,2.3277,61.8735,0.7359
250376,NdIn3,Nd1,18,6,12,134.5271,0.0,30,20,2.6878,3.2919,81.3341,0.7359
250377,SmIn3,In1,12,4,8,82.4912,0.0,30,20,2.4381,2.313,60.7047,0.7359
250377,SmIn3,Sm1,18,6,12,131.9859,0.0,30,20,2.6708,3.271,79.7977,0.7359
250378,GdIn3,Gd1,18,6,12,130.3408,0.0,30,20,2.6596,3.2574,78.8031,0.7359
250378,GdIn3,In1,12,4,8,81.463,0.0,30,20,2.4279,2.3033,59.948,0.7359
250379,TbIn3,In1,12,4,8,80.5697,0.0,30,20,2.419,2.2948,59.2907,0.7359
250379,TbIn3,Tb1,18,6,12,128.9115,0.0,30,20,2.6498,3.2454,77.939,0.7359
250380,DyIn3,Dy1,18,6,12,128.0204,0.0,30,20,2.6437,3.2379,77.4002,0.7359
250380,DyIn3,In1,12,4,8,80.0127,0.0,30,20,2.4134,2.2896,58.8808,0.7359
250381,HoIn3,Ho1,18,6,12,127.5262,0.0,30,20,2.6403,3.2337,77.1014,0.7359
250381,HoIn3,In1,12,4,8,79.7039,0.0,30,20,2.4103,2.2866,58.6535,0.7359
