CIF_id,Compound,A,B,distAA,distBB,distAB,Asize,Bsize,Asize_by_Bsize,distAA_by2_byAsize,distBB_by2_byBsize,distAB_by2_byAsizebyBsize,Asize_ref,Bsize_ref,percent_diff_A_by_100,percent_diff_B_by_100,distAA_minus_ref_diff,distBB_minus_ref_diff,distAB_minus_ref_diff,refined_packing_eff,R_factor
250101,TmAl3,Tm,Al,4.2,2.9698,2.9698,1.726,1.31,1.3176,1.2167,1.1335,0.9782,1.4849,1.4849,-0.1397,0.1335,0.2929,0.0,0.0,0.74047,0.0373
250328,LaPd3,La,Pd,4.2352,2.9947,2.9947,1.871,1.376,1.3597,1.1318,1.0882,0.9223,1.4974,1.4974,-0.1997,0.0882,0.2929,0.0,0.0,0.74047,0.0477
250329,CePd3,Ce,Pd,4.1278,2.9188,2.9188,1.819,1.376,1.322,1.1346,1.0606,0.9136,1.4594,1.4594,-0.1977,0.0606,0.2929,0.0,0.0,0.74048,0.0428
250330,PrPd3,Pr,Pd,4.1383,2.9262,2.9262,1.82,1.376,1.3227,1.1369,1.0633,0.9156,1.4631,1.4631,-0.1961,0.0633,0.2929,0.0,0.0,0.74047,0.0425
250331,NdPd3,Nd,Pd,4.1264,2.9178,2.9178,1.813,1.376,1.3176,1.138,1.0602,0.915,1.4589,1.4589,-0.1953,0.0602,0.2929,0.0,0.0,0.74048,0.0418
250332,SmPd3,Sm,Pd,4.1053,2.9029,2.9029,1.793,1.376,1.303,1.1448,1.0548,0.916,1.4514,1.4514,-0.1905,0.0548,0.2929,0.0,-0.0,0.74048,0.0393
250333,EuPd3,Eu,Pd,4.0952,2.8957,2.8957,1.987,1.376,1.444,1.0305,1.0522,0.8611,1.4479,1.4479,-0.2713,0.0522,0.2929,0.0,0.0,0.74048,0.0764
250334,GdPd3,Gd,Pd,4.0938,2.8948,2.8948,1.787,1.376,1.2987,1.1454,1.0519,0.9152,1.4474,1.4474,-0.19,0.0519,0.2929,0.0,0.0,0.74048,0.0388
250335,TbPd3,Tb,Pd,4.0773,2.8831,2.8831,1.764,1.376,1.282,1.1557,1.0476,0.9182,1.4415,1.4415,-0.1828,0.0476,0.2929,0.0,-0.0,0.74048,0.0357
250336,DyPd3,Dy,Pd,4.0684,2.8768,2.8768,1.752,1.376,1.2733,1.1611,1.0454,0.9197,1.4384,1.4384,-0.179,0.0454,0.2929,0.0,0.0,0.74048,0.0341
250337,HoPd3,Ho,Pd,4.062,2.8723,2.8723,1.745,1.376,1.2682,1.1639,1.0437,0.9203,1.4361,1.4361,-0.177,0.0437,0.2929,0.0,0.0,0.74047,0.0332
250338,ErPd3,Er,Pd,4.0542,2.8668,2.8668,1.734,1.376,1.2602,1.169,1.0417,0.9218,1.4334,1.4334,-0.1734,0.0417,0.2929,0.0,0.0,0.74048,0.0318
250339,YbPd3,Yb,Pd,4.0398,2.8566,2.8566,1.939,1.376,1.4092,1.0417,1.038,0.8617,1.4283,1.4283,-0.2634,0.038,0.2929,0.0,0.0,0.74047,0.0708
250340,LuPd3,Lu,Pd,4.0358,2.8537,2.8537,1.718,1.376,1.2486,1.1746,1.037,0.9224,1.4269,1.4269,-0.1695,0.037,0.2929,0.0,0.0,0.74048,0.0301
250363,LaSn3,La,Sn,4.7694,3.3725,3.3725,1.871,1.511,1.2382,1.2746,1.116,0.9972,1.6862,1.6862,-0.0988,0.116,0.2929,0.0,0.0,0.74048,0.0232
250364,CeSn3,Ce,Sn,4.7214,3.3385,3.3385,1.819,1.511,1.2038,1.2978,1.1047,1.0026,1.6693,1.6693,-0.0823,0.1047,0.2929,0.0,0.0,0.74048,0.0177
250365,PrSn3,Pr,Sn,4.7159,3.3346,3.3346,1.82,1.511,1.2045,1.2956,1.1034,1.0011,1.6673,1.6673,-0.0839,0.1034,0.2929,0.0,0.0,0.74048,0.0177
250366,NdSn3,Nd,Sn,4.706,3.3276,3.3276,1.813,1.511,1.1999,1.2978,1.1011,1.0011,1.6638,1.6638,-0.0823,0.1011,0.2929,0.0,0.0,0.74048,0.017
250367,SmSn3,Sm,Sn,4.6866,3.3139,3.3139,1.793,1.511,1.1866,1.3069,1.0966,1.003,1.657,1.657,-0.0759,0.0966,0.2929,0.0,0.0,0.74048,0.0151
250368,EuSn3,Eu,Sn,4.7445,3.3549,3.3549,1.987,1.511,1.315,1.1939,1.1102,0.9591,1.6774,1.6774,-0.1558,0.1102,0.2929,0.0,0.0,0.74048,0.0364
250369,GdSn3,Gd,Sn,4.6775,3.3075,3.3075,1.787,1.511,1.1827,1.3088,1.0945,1.0029,1.6537,1.6537,-0.0746,0.0945,0.2929,0.0,0.0,0.74048,0.0145
250370,YbSn3,Yb,Sn,4.6814,3.3102,3.3102,1.939,1.511,1.2833,1.2072,1.0954,0.9595,1.6551,1.6551,-0.1464,0.0954,0.2929,0.0,0.0,0.74047,0.0305
250372,YIn3,Y,In,4.5935,3.2481,3.2481,1.783,1.624,1.0979,1.2881,1.0,0.9534,1.624,1.624,-0.0891,0.0,0.2929,0.0,0.0,0.74048,0.008
