CIF_id,Compound,Shortest homoatomic distance,Shortest heteroatomic distance,Shortest homoatomic distance by 2 by atom size,Shortest heteroatomic distance by sum of atom sizes,Shortest homoatomic distance by 2 by refined atom size,Shortest heteroatomic distance by sum of refined sizes,Highest refined percent difference by 100 (abs value),Lowest refined percent difference by 100 (abs value),Packing efficiency
250101,TmAl3,2.9698,2.9698,1.1335,0.9782,1.0,1.0,0.1397,0.1335,0.74047
250328,LaPd3,2.9947,2.9947,1.0882,0.9223,1.0,1.0,0.1997,0.0882,0.74047
250329,CePd3,2.9188,2.9188,1.0606,0.9136,1.0,1.0,0.1977,0.0606,0.74048
250330,PrPd3,2.9262,2.9262,1.0633,0.9156,1.0,1.0,0.1961,0.0633,0.74047
250331,NdPd3,2.9178,2.9178,1.0602,0.915,1.0,1.0,0.1953,0.0602,0.74048
250332,SmPd3,2.9029,2.9029,1.0548,0.916,1.0,1.0,0.1905,0.0548,0.74048
250333,EuPd3,2.8957,2.8957,1.0522,0.8611,1.0,1.0,0.2713,0.0522,0.74048
250334,GdPd3,2.8948,2.8948,1.0519,0.9152,1.0,1.0,0.19,0.0519,0.74048
250335,TbPd3,2.8831,2.8831,1.0476,0.9182,1.0,1.0,0.1828,0.0476,0.74048
250336,DyPd3,2.8768,2.8768,1.0454,0.9197,1.0,1.0,0.179,0.0454,0.74048
250337,HoPd3,2.8723,2.8723,1.0437,0.9203,1.0,1.0,0.177,0.0437,0.74047
250338,ErPd3,2.8668,2.8668,1.0417,0.9218,1.0,1.0,0.1734,0.0417,0.74048
250339,YbPd3,2.8566,2.8566,1.038,0.8617,1.0,1.0,0.2634,0.038,0.74047
250340,LuPd3,2.8537,2.8537,1.037,0.9224,1.0,1.0,0.1695,0.037,0.74048
250363,LaSn3,3.3725,3.3725,1.116,0.9972,1.0,1.0,0.116,0.0988,0.74048
250364,CeSn3,3.3385,3.3385,1.1047,1.0026,1.0,1.0,0.1047,0.0823,0.74048
250365,PrSn3,3.3346,3.3346,1.1034,1.0011,1.0,1.0,0.1034,0.0839,0.74048
250366,NdSn3,3.3276,3.3276,1.1011,1.0011,1.0,1.0,0.1011,0.0823,0.74048
250367,SmSn3,3.3139,3.3139,1.0966,1.003,1.0,1.0,0.0966,0.0759,0.74048
250368,EuSn3,3.3549,3.3549,1.1102,0.9591,1.0,1.0,0.1558,0.1102,0.74048
250369,GdSn3,3.3075,3.3075,1.0945,1.0029,1.0,1.0,0.0945,0.0746,0.74048
250370,YbSn3,3.3102,3.3102,1.0954,0.9595,1.0,1.0,0.1464,0.0954,0.74047
250372,YIn3,3.2481,3.2481,1.0,0.9534,1.0,1.0,0.0891,0.0,0.74048
250373,LaIn3,3.3478,3.3478,1.0307,0.9579,1.0,1.0,0.1054,0.0307,0.74048
250374,CeIn3,3.3158,3.3158,1.0209,0.9631,1.0,1.0,0.0886,0.0209,0.74048
250375,PrIn3,3.3033,3.3033,1.017,0.9592,1.0,1.0,0.0925,0.017,0.74047
250376,NdIn3,3.2919,3.2919,1.0135,0.9578,1.0,1.0,0.0922,0.0135,0.74048
250377,SmIn3,3.271,3.271,1.0071,0.9573,1.0,1.0,0.0878,0.0071,0.74048
250378,GdIn3,3.2574,3.2574,1.0029,0.955,1.0,1.0,0.0886,0.0029,0.74047
250379,TbIn3,3.2454,3.2454,0.9992,0.9579,1.0,1.0,0.0801,0.0008,0.74048
250380,DyIn3,3.2379,3.2379,0.9969,0.9591,1.0,1.0,0.0759,0.0031,0.74048
250381,HoIn3,3.2337,3.2337,0.9956,0.9598,1.0,1.0,0.0734,0.0044,0.74047
250382,ErIn3,3.2275,3.2275,0.9937,0.9611,1.0,1.0,0.0694,0.0063,0.74047
250383,TmIn3,3.2233,3.2233,0.9924,0.9622,1.0,1.0,0.0663,0.0076,0.74048
250384,YbIn3,3.263,3.263,1.0046,0.9158,1.0,1.0,0.1586,0.0046,0.74048
250385,LuIn3,3.2192,3.2192,0.9911,0.9632,1.0,1.0,0.0631,0.0089,0.74048
250394,YCo3,2.4839,2.8875,0.9936,0.952,1.0,1.0,0.0771,0.0064,0.72230
250404,NdAl3,2.9655,2.9655,1.1319,0.9496,1.0,1.0,0.1821,0.1319,0.65381
250410,GdAl3,2.9325,2.9326,1.1193,0.9469,1.0,1.0,0.1794,0.1193,0.66507
250411,Nd3Al,3.3697,3.3697,0.9293,1.079,1.0,1.0,0.2862,0.0707,0.70494
250460,GdFe3,2.5318,2.9621,1.0192,0.9779,1.0,1.0,0.0508,0.0192,0.72221
250461,GdCo3,2.4975,2.9006,0.999,0.9551,1.0,1.0,0.0756,0.001,0.72234
