,n,theta,r,t,toughness
0,6,200,2.3,1.05,21.80051696
1,6,200,2.3,1.05,20.57744419
2,6,200,2.3,1.05,21.32481878
3,6,200,2.3,0.7,24.84958171
4,6,200,2.3,0.7,20.90731185
5,6,200,2.3,0.7,23.40856053
6,6,200,2.1,1.4,20.31956724
7,6,200,2.1,1.4,26.0766163
8,6,200,2.1,1.4,7.20144772
9,10,125,2.4,1.05,28.87825012
10,10,125,2.4,1.05,28.29307961
11,10,125,2.4,1.05,27.64733324
12,6,200,2.1,1.05,20.21042247
13,6,200,2.1,1.05,19.22200277
14,6,200,2.1,1.05,20.51055968
15,6,200,2.1,0.7,21.86809238
16,6,200,2.1,0.7,20.23693665
17,6,200,2.1,0.7,20.23517058
18,6,200,1.9,1.4,23.56283371
19,6,200,1.9,1.4,24.93052827
20,6,200,1.9,1.4,22.75615377
21,6,200,1.9,1.05,24.39245006
22,6,200,1.9,1.05,19.64039634
23,6,200,1.9,1.05,19.49920548
24,10,100,2.5,1.05,25.82152161
25,10,100,2.5,1.05,29.32923957
26,10,100,2.5,1.05,29.88330736
27,6,200,1.9,0.7,17.83614353
28,6,200,1.9,0.7,17.48027602
29,6,200,1.9,0.7,13.79168408
30,6,200,1.7,1.4,19.40045977
31,6,200,1.7,1.4,8.339999845
32,6,200,1.7,1.4,22.27744967
33,6,200,1.7,1.05,25.21025957
34,6,200,1.7,1.05,21.38700344
35,6,200,1.7,1.05,26.36648259
36,6,200,1.7,0.7,16.78959272
37,6,200,1.7,0.7,16.03773862
38,6,200,1.7,0.7,16.27981063
39,6,200,1.5,1.4,20.22036666
40,6,200,1.5,1.4,17.34488347
41,6,200,1.5,1.4,20.37627403
42,6,200,1.5,1.05,14.65657727
43,6,200,1.5,1.05,16.66536236
44,6,200,1.5,1.05,15.63951464
45,6,175,2.4,1.4,14.4047196
46,6,175,2.4,1.4,14.50308112
47,6,175,2.4,1.4,18.2698049
48,6,175,2.4,1.05,16.38889589
49,6,175,2.4,1.05,18.6453617
50,6,175,2.4,1.05,17.88724908
51,6,175,2.4,0.7,22.93310771
52,6,175,2.4,0.7,20.67206613
53,6,175,2.4,0.7,22.75940737
