,n,theta,r,t,toughness
0,10,100,1.5,1.4,2.53324977
1,10,100,1.5,1.4,15.19785445
2,10,100,1.5,1.4,14.96158266
3,10,100,1.5,1.05,18.94962245
4,10,100,1.5,1.05,2.7742289
5,10,100,1.5,1.05,16.70525583
6,10,100,1.5,0.7,17.06507599
7,10,100,1.5,0.7,2.171097245
8,10,100,1.5,0.7,2.03703113
9,10,75,2.4,1.4,2.00176375
10,10,75,2.4,1.4,30.4392378
11,10,75,2.4,1.4,33.23522319
12,10,75,2.4,1.05,36.75305072
13,10,75,2.4,1.05,35.97420333
14,10,75,2.4,1.05,31.50348043
15,10,75,2.2,1.4,30.7444312
16,10,75,2.2,1.4,29.73223526
17,10,75,2.2,1.4,30.17208591
18,10,75,2.2,1.05,29.38565798
19,10,75,2.2,1.05,28.25179018
20,10,75,2.2,1.05,25.9285469
21,10,75,2.2,0.7,22.43277946
22,10,75,2.2,0.7,19.28107221
23,10,75,2.2,0.7,22.52605105
24,10,75,2.0,1.4,23.21411872
25,10,75,2.0,1.4,22.5752033
26,10,75,2.0,1.4,21.90600339
27,10,75,2.0,1.05,21.2147152
28,10,75,2.0,1.05,20.7149298
29,10,75,2.0,1.05,19.17797565
30,10,75,2.0,0.7,21.10158681
31,10,75,2.0,0.7,19.8059104
32,10,75,2.0,0.7,7.923393555
33,10,75,1.8,1.4,16.80488933
34,10,75,1.8,1.4,17.12357983
35,10,75,1.8,1.4,15.57363845
36,10,75,1.8,1.05,14.8352227
37,10,75,1.8,1.05,13.93280176
38,10,75,1.8,1.05,13.02729787
39,10,75,1.8,0.7,14.98008309
40,10,75,1.8,0.7,14.47847228
41,10,75,1.8,0.7,3.71797517
42,10,75,1.6,1.4,14.52642432
43,10,75,1.6,1.4,4.31146103
44,10,75,1.6,1.4,0.91748268
45,10,75,1.6,1.05,3.87517276
46,10,75,1.6,1.05,3.65339209
47,10,75,1.6,1.05,3.982026465
48,10,75,1.6,0.7,4.15126126
49,10,75,1.6,0.7,2.801982435
50,10,75,1.6,0.7,2.55179376
51,10,50,2.5,1.4,1.362320765
52,10,50,2.5,1.4,1.37573093
53,10,50,2.5,1.4,1.883642545
54,10,50,2.5,1.05,1.77016859
55,10,50,2.5,1.05,1.90834218
56,10,50,2.5,1.05,8.159024855
57,10,50,2.3,1.4,1.68978614
58,10,50,2.3,1.4,1.722331425
59,10,50,2.3,1.4,18.32694408
60,10,50,2.3,1.05,28.25571177
61,10,50,2.3,1.05,21.92936174
62,10,50,2.3,1.05,23.0185344
63,10,50,2.1,1.4,1.938137185
64,10,50,2.1,1.4,9.52971548
65,10,50,2.1,1.4,8.43650171
66,10,50,2.1,1.05,6.48318302
67,10,50,2.1,1.05,18.12854522
68,10,50,2.1,1.05,18.25382211
69,10,50,2.1,0.7,18.14836186
70,10,50,2.1,0.7,7.8446652
71,10,50,2.1,0.7,8.18131518
72,10,50,1.9,1.4,6.88366734
73,10,50,1.9,1.4,4.465437585
74,10,50,1.9,1.4,5.6230742
75,10,50,1.9,1.05,4.199239655
76,10,50,1.9,1.05,6.327796025
77,10,50,1.9,1.05,1.884693735
78,10,50,1.9,0.7,4.691029555
79,10,50,1.9,0.7,4.012846955
80,10,50,1.9,0.7,4.3821171
81,10,50,1.7,1.4,2.616819025
82,10,50,1.7,1.4,2.91813294
