,n,theta,r,t,toughness
0,6,200,2.1,1.4,20.31956724
1,6,200,2.1,1.4,26.0766163
2,6,200,2.1,1.4,7.20144772
3,12,50,2.5,1.05,1.36576364
4,12,50,2.5,1.05,2.0703271
5,12,50,2.5,1.05,1.44766338
6,6,200,2.1,1.05,20.21042247
7,6,200,2.1,1.05,19.22200277
8,6,200,2.1,1.05,20.51055968
9,6,200,2.1,0.7,21.86809238
10,6,200,2.1,0.7,20.23693665
11,6,200,2.1,0.7,20.23517058
12,6,200,1.9,1.4,23.56283371
13,6,200,1.9,1.4,24.93052827
14,6,200,1.9,1.4,22.75615377
15,6,200,1.9,1.05,24.39245006
16,6,200,1.9,1.05,19.64039634
17,6,200,1.9,1.05,19.49920548
18,6,200,1.9,0.7,17.83614353
19,6,200,1.9,0.7,17.48027602
20,6,200,1.9,0.7,13.79168408
21,6,200,1.7,1.4,19.40045977
22,6,200,1.7,1.4,8.339999845
23,6,200,1.7,1.4,22.27744967
24,6,200,1.7,1.05,25.21025957
25,6,200,1.7,1.05,21.38700344
26,6,200,1.7,1.05,26.36648259
27,6,200,1.7,0.7,16.78959272
28,6,200,1.7,0.7,16.03773862
29,6,200,1.7,0.7,16.27981063
30,6,200,1.5,1.4,20.22036666
31,6,200,1.5,1.4,17.34488347
32,6,200,1.5,1.4,20.37627403
33,6,200,1.5,1.05,14.65657727
34,6,200,1.5,1.05,16.66536236
35,6,200,1.5,1.05,15.63951464
36,6,175,2.4,1.4,14.4047196
37,6,175,2.4,1.4,14.50308112
38,6,175,2.4,1.4,18.2698049
39,6,175,2.4,1.05,16.38889589
40,6,175,2.4,1.05,18.6453617
41,6,175,2.4,1.05,17.88724908
42,6,175,2.2,1.4,13.48899982
43,6,175,2.2,1.4,12.40292786
44,6,175,2.2,1.4,16.37818041
45,6,175,2.2,1.05,19.70686035
46,6,175,2.2,1.05,19.31625969
47,6,175,2.2,1.05,17.07134424
48,12,50,2.3,1.05,2.69682508
49,12,50,2.3,1.05,18.90567656
50,12,50,2.3,1.05,37.08072058
51,6,175,2.2,0.7,21.11426736
52,6,175,2.2,0.7,19.72507122
53,6,175,2.2,0.7,19.21437316
54,6,175,2.0,1.4,18.38228342
55,6,175,2.0,1.4,16.31177215
56,6,175,2.0,1.4,20.57800408
57,6,175,2.0,1.05,17.5264161
58,6,175,2.0,1.05,17.30324628
59,6,175,2.0,1.05,17.13837747
60,12,100,2.5,1.05,1.86482408
61,12,100,2.5,1.05,37.06981261
62,12,100,2.5,1.05,30.72339312
63,6,175,2.0,0.7,18.03436356
64,6,175,2.0,0.7,17.10096512
65,6,175,2.0,0.7,18.57465277
66,6,175,1.8,1.4,20.35152813
67,6,175,1.8,1.4,22.86955112
68,6,175,1.8,1.4,28.19387442
69,6,175,1.8,1.05,18.12488509
70,6,175,1.8,1.05,17.10172416
71,6,175,1.8,1.05,17.38876143
72,12,25,2.4,1.05,1.366536405
73,12,25,2.4,1.05,1.6005787
74,12,25,2.4,1.05,10.10799107
